[2026-02-16T18:15:09.688Z] AUTH FAILED: No token or Bearer header
[2026-02-16T18:25:53.233Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:25:56.350Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:56.357Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:56.361Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:25:56.364Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:27:45.552Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:27:45.630Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:27:45.681Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:27:45.709Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:07.121Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:07.123Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:07.129Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:07.132Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:15.552Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cb9
[2026-02-16T18:28:15.568Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:15.569Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:22.936Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cba
[2026-02-16T18:28:22.952Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:22.953Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:28.735Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cbb
[2026-02-16T18:28:28.751Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:28.753Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:44.975Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cbc
[2026-02-16T18:28:44.993Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:44.994Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:49.583Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/69936197e9c73c0eae887cbd
[2026-02-16T18:28:49.599Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:49.600Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ecd9924bc0f55ddf63
[2026-02-16T18:28:55.718Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:28:55.720Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:28:55.727Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:28:55.729Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:29:14.631Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-16T18:29:14.653Z] AUTH SUCCESS: Role: admin | Path: /api/appointments
[2026-02-16T18:29:23.099Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:29:23.100Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:29:23.113Z] AUTH SUCCESS: Role: admin | Path: /api/appointments?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:29:23.157Z] AUTH SUCCESS: Role: admin | Path: /api/services?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:29:34.714Z] AUTH SUCCESS: Role: admin | Path: /api/inventory?salonId=698e18ebd9924bc0f55ddf3d
[2026-02-16T18:29:34.717Z] AUTH SUCCESS: Role: admin | Path: /api/inventory/low-stock?salonId=698e18ebd9924bc0f55ddf3d
